"Name","url","Release_Date","Genre","Completed","Translator","Description","Count","Update_needed"
"","",0,"",FALSE,"","",0,TRUE
"""Bokuchu"" Us vs the Police: 700-Day War","http://novelplanet.com/Novel/%42%6f%6b%75%63%68%75%2d%55%73%2d%76%73%2d%74%68%65%2d%50%6f%6c%69%63%65%2d%37%30%30%2d%44%61%79%2d%57%61%72",2006,"Action, Comedy, Drama, School Life, Shounen, Slice of Life            ",FALSE,"Unknown","The setting for this story is a country town in 1970’s Japan. One day, Saijo-kun, one of the biggest trouble makers of our school, was caught speeding on his scooter. As his friends, “we” commenced our counterattack on the local resident police officer. Our opponent was a newly appointed, motivated, and young Chuzai-san (resident local police officer). Chuzai-san kept getting back at us with his clever counterattacks! To boot, this Chuzai-san had a young and beautiful wife! Our prank war escalated, and its circumstances wrapped the whole town in confusion. This is the heartwarming (?) story about “our” relationship with “Chuzai-san.” Two volumes of novel were published in April 2007. A live action movie is also being planned.",0,TRUE
"""Bungaku Shoujo""","http://novelplanet.com/Novel/%42%75%6e%67%61%6b%75%2d%53%68%6f%75%6a%6f",2006,"Drama, Mystery, Psychological, Romance, School Life, Shoujo            ",FALSE,"Unknown","For Tohko Amano, a third-year high-school student and self-styled “book girl,” being the head of the literary club is more than just an extracurricular activity. It’s her bread and butter…literally! Tohko is actually a literature-gobbling demon, who can be found at all hours of the day munching on torn out pages from all kinds of books. But for Tohko, the real delicacies are hand-written stories. To satisfy her gourmet tastes, she’s employed (rather, browbeaten) one Konoha Inoue, who scribbles away each day after school to satisfy Tohko’s appetite. But when another student comes knocking on the literary club door for advice on writing love letters, will Tohko discover a new kind of delicacy? Bungaku Shoujo won Kadokawa Shoten’s 2007 light novel award for light novels under the mystery category. Placed 7th (2007) and 3rd (2008) on “<U+3053><U+306E><U+30E9><U+30A4><U+30C8><U+30CE><U+30D9><U+30EB><U+304C><U+3059><U+3054><U+3044>!” (This Light Novel is Amazing!) without an anime nor manga associate. Novels: – Main story: 1. Book Girl and the Suicidal Mime 2. Book Girl and the Famished Spirit 3. Book Girl and the Captive Fool 4. Book Girl and the Corrupted Angel 5. Book Girl and the Wayfarer’s Lamentation 6. Book Girl and the Undine Who Bore a Moonflower 7-8 Book Girl and the Scribe Who Faced God – Short stories: 1-4. Bungaku Shoujo to Koisuru Souwashuu (Episode) – Gaiden: 1. Bungaku Shoujo Minarai no, Hatsukoi 2. Bungaku Shoujo Minarai no, Shoushin 3. Bungaku Shoujo Minarai no, Sotsugyou – Last Volume: Hanjuku Sakka to Bungaku Shoujo na Henshuusha (Muse)",8,FALSE
"(Um, Sorry) I've Been Reincarnated!","http://novelplanet.com/Novel/%55%6d%2d%53%6f%72%72%79%2d%49%2d%76%65%2d%42%65%65%6e%2d%52%65%69%6e%63%61%72%6e%61%74%65%64",2012,"Action, Adventure, Comedy, Drama, Fantasy, School Life            ",FALSE,"Pumlated","After a god screws up and accidentally takes high schooler Shou’s life, he offers him reincarnation with a gift to make up for it. Shou asks to retain all his old memories for the new life. Shou is reborn as Will, a noble’s son in a world where magic use is common and involves knowledge of kanji characters. With all his memories, he’s a brilliant toddler, and when he experiments with magic, he finds that he has an amazing talent for it! What’s more, though he was smart but unloved in his old life, in his new life he has a mother and a father who both love him deeply. His future as Will is looking very bright and cool!",95,FALSE
".hack//AI Buster","http://novelplanet.com/Novel/%68%61%63%6b%2d%41%49%2d%42%75%73%74%65%72",2002,"Adventure, Fantasy, Sci-fi            ",FALSE,"Unknown","AI buster, the prequel to .hack//SIGN, is the story of Albireo,a debugger, who used to play ‘Fragments,’ the beta version of ‘The World.’ Albireo encounters Lycoris, whom he assumes is an event NPC (an AI character) but she’s actually a failed version of Aura. She is blind, deaf, and mute, because Albireo debugged her and broke up important files. The missing files are hidden as items in the World, and when returned to Lycoris, she gets a function back. When she gains them all, she changes into a teenage form with purple hair who looks like Aura. Because of his acquaintance with Lycoris, Albireo cannot log out of the game and exit the World …",0,TRUE
".hack//Cell","http://novelplanet.com/Novel/%68%61%63%6b%2d%43%65%6c%6c",2006,"Action, Sci-fi, Shounen            ",FALSE,"Unknown",".hack//CELL is a novel series written by Ryo Suzukaze, serialized in the magazine .hack//G.U.: The World, and published in paperback format by Kadokawa Shoten as a chapter in the .hack universe. It follows the experiences of a female Edge Punisher, Midori, as she hires herself out to players who want to fight her without resistance.",0,TRUE
".hack//G.U.","http://novelplanet.com/Novel/%68%61%63%6b%2d%47%2d%55",2007,"Action, Adventure, Fantasy, Sci-fi, Shounen            ",FALSE,"Unknown","“The World” is a massively multiplayer online game played by more than twelve million people across the globe. Within this virtual world Haseo, a PPK (Player Killer Killer), continues an endless fight. Everything he does is for the sake of the girl Shino, who back in the real world, is hospitalized by an unexplained coma. However, on finally meeting with his sole lead, a PK called ?Tri-Edge,? Haseo is dropped back to Level 1 by a mysterious power! Can Haseo save Shino now that he has lost all of his abilities?",0,TRUE
"<U+300E>Shirayukihime to 7 Nin no Koibito<U+300F>to iu 18 kin Otomege Heroin ni Tenseishiteshimatta Ore ga Zenryoku de Oujitachi kara Nigeru Hanashi","http://novelplanet.com/Novel/%e3%80%8e%53%68%69%72%61%79%75%6b%69%68%69%6d%65%2d%74%6f%2d%37%2d%4e%69%6e%2d%6e%6f%2d%4b%6f%69%62%69%74%6f%e3%80%8f%74%6f%2d%69%75%2d%31%38%2d%6b%69%6e%2d%4f%74%6f%6d%65%67%65%2d%48%65%72%6f%69%6e%2d%6e%69%2d%54%65%6e%73%65%69%73%68%69%74%65%73%68%69%6d%61%74%74%61%2d%4f%72%65%2d%67%61%2d%5a%65%6e%72%79%6f%6b%75%2d%64%65%2d%4f%75%6a%69%74%61%63%68%69%2d%6b%61%72%61%2d%4e%69%67%65%72%75%2d%48%61%6e%61%73%68%69",NA,"Adult, Adventure, Comedy, Fantasy, Gender Bender, Harem, Josei, Mature, Romance, Smut            ",FALSE,"Red Lantern Archives","<U+3010>Main story completion<U+3011>After being assaulted by a tentacle monster and its conveniently aphrodisiac mucus, I remembered my past life. It was then I realized that this was the world of a 18 restricted otome game. It seems that I’ve reincarnated into the game<U+300E>Snow White and the Seven Lovers<U+300F>as the heroine Snow White. <U+2015><U+2015>In this game, no matter which route you take you would be caught and violated by seven men eventually. Then you would be confined in a cabin in the forest, and each evening you would be gangbanged by the seven men. I definitely don’t want that! I haven’t even gone out with a girl yet!! ……Alright, let’s run away. The escaping Snow White and the seven men who chase after her. Sex Object ED, Seedbed ED and the looming BAD ED, and licentious beasts and lewd bugs crowd around her one after another. What will become of her(his?)fate!?",5,TRUE
"<Infinite Dendrogram>","http://novelplanet.com/Novel/%ef%bc%9c%49%6e%66%69%6e%69%74%65%2d%44%65%6e%64%72%6f%67%72%61%6d%ef%bc%9e",NA,"Action, Fantasy, Romance, Sci-fi            ",FALSE,"hotcocoatranslations.wordpress.com","July 15, 2043. On that day, a Full Dive VRMMO was released, its unique system called <Embryo> allowing each player to follow an extremely varied—or rather, an “infinitely” varied pattern of evolution. That game’s name?<Infinite Dendrogram>Possessing an element that, until now, had never been achieved by VRMMOs and was considered a technical impossibility, <Infinite Dendrogram> took over the entire world, becoming a major hit in the blink of an eye.One and a half year had passed since the launch of <Infinite Dendrogram>. A young man named Mukudori Reiji had finished his university entrance exams and began living alone in Tokyo. In order to celebrate the end of that lengthy studying period, after being invited by his older brother long ago, he finally started playing the game.This is a story where the line between game and reality is blurred.And also, a tale of reminiscences.",14,FALSE
"<U+FFE5>1 Trillion Wife, Buy One Get One Free","http://novelplanet.com/Novel/%31%30%2d%54%72%69%6c%6c%69%6f%6e%2d%57%69%66%65%2d%42%75%79%2d%4f%6e%65%2d%47%65%74%2d%4f%6e%65%2d%46%72%65%65",2011,"Adult, Comedy, Josei, Mature, Romance, Smut, Tragedy            ",FALSE,"Ainushi Translations","Seven years ago, she freely and easily abandoned <U+FFE5>100 and ran away, carrying her unborn son with her. Seven years later, she returned with the lady killer’s genius son, never expecting that her darling son would sell her out to MBS International. Unexpectedly, her immediate superior was the Mr. <U+FFE5>100 from seven years ago!“……Terrible girl, seven years ago, you dared to humiliate me so much! This time, I’ll definitely let you pay the price! For <U+FFE5>100,000,000, I’ll buy you for the rest of your life!”Isn’t that too much for a buy one get one free bargain? The most two-faced couple, along with their two-faced son, staking their lives on the outcome…",11,TRUE
